metro,zip,pred_cat1,pred_cat2,pred_cat3,pred_cat4,sd_cat1,sd_cat2,sd_cat3,sd_cat4,ci_low_cat1,ci_low_cat2,ci_low_cat3,ci_low_cat4,ci_high_cat1,ci_high_cat2,ci_high_cat3,ci_high_cat4,effective_n,unique_zips
Portland,97113,74.82,77.03,79.58,83.06,1.78,1.79,1.86,1.97,73.4,75.1,77.3,80.6,78.4,80.1,82.5,86.4,21.1,27
Portland,97116,76.59,79.11,81.98,85.67,2.45,2.38,2.45,2.49,72.9,75.6,78.7,82.0,81.0,83.1,86.0,89.8,22.32,30
Portland,97119,73.38,76.09,79.15,83.1,2.73,2.64,2.59,2.38,68.7,71.4,74.6,79.5,77.7,79.5,82.7,86.5,22.62,31
Portland,97123,79.38,81.72,84.42,87.95,2.43,2.34,2.37,2.42,74.6,76.6,79.0,82.3,81.7,83.9,86.6,90.5,22.62,31
Portland,97124,80.83,83.52,86.39,90.28,1.24,1.33,1.4,1.56,78.2,81.2,83.8,87.4,82.2,85.1,88.1,92.5,21.74,31
Portland,97133,76.42,78.94,81.82,85.53,2.74,2.62,2.61,2.54,72.2,74.8,77.5,81.8,81.0,83.1,86.0,89.8,22.52,32
Portland,97140,78.64,81.09,83.92,87.52,2.74,2.58,2.55,2.55,74.4,76.6,78.9,82.3,82.1,84.2,86.6,90.5,22.83,31
Portland,97201,71.44,74.03,76.94,80.7,1.88,1.87,1.83,1.81,69.1,71.1,73.7,77.3,74.6,76.9,79.5,83.1,21.65,32
Portland,97202,72.93,75.56,78.41,82.08,1.76,1.48,1.28,1.17,70.0,72.5,75.5,79.5,74.8,77.1,79.7,83.3,23.58,34
Portland,97203,73.27,75.58,78.2,81.75,1.77,1.56,1.37,1.22,70.0,72.5,75.5,79.5,76.0,78.1,80.5,83.7,18.87,33
Portland,97205,71.46,74.32,77.37,81.17,2.23,2.33,2.37,2.36,69.1,71.1,73.7,77.3,76.5,79.4,82.2,85.9,19.61,33
Portland,97206,73.11,75.74,78.58,82.23,1.68,1.36,1.13,1.0,70.8,74.1,77.3,80.7,75.0,77.3,79.8,83.6,17.3,33
Portland,97209,73.2,76.03,79.01,82.75,2.1,2.35,2.48,2.57,69.1,71.4,74.6,78.3,76.4,79.2,82.5,86.8,18.94,35
Portland,97210,70.77,73.77,76.95,80.89,2.17,2.22,2.22,2.17,68.7,71.1,73.7,77.3,76.4,79.4,82.2,85.9,14.71,33
Portland,97211,74.22,76.62,79.26,82.77,1.27,0.99,0.8,0.76,71.4,74.4,77.6,81.4,75.9,78.2,80.7,84.2,18.18,20
Portland,97212,73.9,76.59,79.45,83.11,1.54,1.33,1.27,1.26,71.4,74.6,77.8,81.6,76.4,79.5,82.7,86.5,11.71,13
Portland,97213,74.45,76.84,79.47,82.97,1.3,1.05,0.88,0.83,71.4,74.4,77.6,81.4,76.4,78.5,80.9,84.2,11.21,12
Portland,97214,73.54,76.26,79.16,82.82,1.52,1.24,1.09,1.05,71.4,74.6,77.8,81.6,74.8,77.1,79.7,83.3,10.53,11
Portland,97215,74.64,77.14,79.83,83.4,1.01,0.99,1.07,1.14,72.4,75.7,79.0,82.3,76.4,79.5,82.7,86.5,10.0,10
Portland,97216,75.19,77.34,79.77,83.09,1.99,1.77,1.59,1.5,71.4,74.4,77.6,80.7,79.6,81.3,83.3,86.2,10.0,10
Portland,97217,74.06,76.22,78.68,82.07,0.93,0.97,0.98,1.07,71.8,74.2,77.0,80.3,75.1,77.4,80.0,83.6,10.0,10
Portland,97218,77.26,79.59,82.22,85.8,3.17,3.0,2.88,2.85,72.7,75.9,79.0,82.5,81.7,84.1,86.6,90.2,21.83,27
Portland,97219,74.28,76.99,79.91,83.59,2.93,2.59,2.37,2.25,70.1,73.3,76.5,80.4,81.1,83.2,85.5,88.8,23.47,30
Portland,97220,77.16,79.49,82.15,85.78,3.06,2.93,2.82,2.81,72.7,75.9,79.0,82.5,81.7,84.2,86.6,90.3,23.58,29
